product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_content,img_link,product_link
B09VCHLSJF,OnePlus 108 cm (43 i,Electronics|HomeTheat,"$29,999","$39,999",25%,4.2,"7,298",Resolution : 4K Ultr,AGDOVGWZKE,Abhishek K,R2J3Q3BUHJ,I am posting this after a few weeks of using the p,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/OnePlus-43-inches-Android-Pr
B0B1YZX72F,Acer 127 cm (50 inch,Electronics|HomeTheat,"$27,999","$40,990",32%,4.3,"4,703",Resolution : 4K Ultr,AFSMISGEYD,"Ayush,ROHI",R1EBS3566V,About the TV - Wonderful--------------------------,https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Acer-inches-Ultra-Android-AR
B092BJMT8Q,Samsung 108 cm (43 i,Electronics|HomeTheat,"$30,990","$52,900",41%,4.3,"7,109",Resolution : Crystal,AHDIDVECFG,"Binu,Sabja",R3RUBB6REU,"Before finalizing the AUE60 55"", I visited Croma a",https://m.media-amazon.com/images/I/41RVzq6GiIL._S,https://www.amazon.in/Samsung-inches-Crystal-Ultra
B0BMXMLSMM,Lapster 65W compatib,Computers&Accessories,$199,$999,80%,4.5,127,-1 meter type c to c,AHFENRYJG4,Nadhiyaras,R14ZOPYFHO,"Best quality,The product looks original-like and i",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Lapster-compatible-OnePlus-c
B07JH1C41D,Wayona Nylon Braided,Computers&Accessories,$649,"$1,999",68%,4.2,"24,269",[High Compatibility],AG3D6O4STA,"Manav,Adar",R3HXWT0LRP,"Looks durable Charging is fine tooNo complains,Cha",https://m.media-amazon.com/images/I/412fvb7k2FL._S,https://www.amazon.in/Wayona-Braided-WN3LG2-Syncin
B0141EZMAI,Gizga Essentials USB,Computers&Accessories,$269,$800,66%,3.6,"10,134",USB WiFi Adapter: Fa,AGMJ6TDLOV,"SQL,ARUN K",R3AZDEK3MQ,Was working fine with window 10 old computer but i,https://m.media-amazon.com/images/I/31mgo4D-kPL._S,https://www.amazon.in/Receiver-300Mbps-802-11b-Wir
B09Q5P2MT3,OnePlus 108 cm (43 i,Electronics|HomeTheat,"$24,999","$31,999",22%,4.2,"34,899",Resolution : Full HD,AFUT7ANZTZ,ATHARVA BO,R3COVVOP2R,This OnePlus TV is great if you want a affordable ,https://m.media-amazon.com/images/I/51F6FClq10L._S,https://www.amazon.in/OnePlus-inches-Smart-Android
B08HDH26JX,boAt Deuce USB 300 2,Computers&Accessories,$299,$699,57%,4.2,"94,363",The boAt Deuce USB 3,AEWAZDZZJL,Omkar dhal,R3EEUZKKK9,"Good product,long wire,Charges good,Nice,I bought ",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Deuce-300-Resistant-Transmis
B09VT6JKRP,Lapster USB 3.0 A to,Computers&Accessories,$199,$999,80%,4.1,425,-High performance Mi,AEC4ANXPPW,Vivek Rama,R3ET6IRJTU,"As a connector, it does its job fine.,Package arri",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Lapster-Micro-SuperSpeed-har
B09T3KB6JZ,TCL 100 cm (40 inche,Electronics|HomeTheat,"$18,990","$40,990",54%,4.2,"6,659",Resolution: Full HD ,AGACKHUULX,KIRAN BABU,R2GC03W48T,"TV looks fine, however I see some lag while select",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/TCL-inches-Certified-Android
B093QCY6YJ,ZEBRONICS ZEB-USB150,Computers&Accessories,$290,$349,17%,3.7,"1,977",Supports 150Mbps Wir,AFOYOG3YKI,Mohseen Qu,R32XZQTB1B,"Working very nice ok,Sahi paise ke hisab se sahi k",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/ZEBRONICS-ZEB-USB150WF1-Supp
B093ZNQZ2Y,LOHAYA Remote Compat,Electronics|HomeTheat,$249,$799,69%,3.8,"1,079",Compatible with MI S,AGDR4WFX53,mohamednat,R1MTTFP4GW,"Not value for money.. not satisfied,Good,Required ",https://m.media-amazon.com/images/I/21PB1kWQWdL._S,https://www.amazon.in/LOHAYA-Remote-Compatible-Con
B08LKS3LSP,Gilary Multi Chargin,Computers&Accessories,$345,$999,65%,3.7,"1,097",The cable comes with,AH5JH2QLZD,kishore mo,R168J8VQSY,"Product  is nice,Decent charging cable for the pri",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Gilary-Charging-Braided-Magn
B00V4BGDKU,TP-Link UE300 USB 3.,Computers&Accessories,"$1,099","$1,899",42%,4.5,"22,420",Fastest USB 3.0 and ,AHQC27SWWM,"MOINUL H.,",R30SWI8U6K,"Good looking amd working fine.,I brought this prim",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/TP-Link-TL-UE300-Gigabit-Eth
B08CHKQ8D4,Wayona Type C to Lig,Computers&Accessories,$719,"$1,499",52%,4.1,"1,045",【Power Delivery Fa,AFKENW6K3C,Kiran Koll,R3ROJ6AWGN,"Good,,Quality of cable is good and fast charging a",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Wayona-charging-Nylon-Braide
B09BW334ML,Dealfreez Case Compa,Electronics|HomeTheat,$349,"$1,499",77%,4.3,"4,145",【Compatibility】:,AHDC2HUUNE,parvinder ,R3UKO8DK95,",The rubber around buttons got loose within months",https://m.media-amazon.com/images/I/41pA1xo-mIL._S,https://www.amazon.in/Dealfreez-Compatible-Silicon
B082T6GVLJ,Amazon Basics New Re,Computers&Accessories,$849,"$1,809",53%,4.3,"6,547",Added Protection: An,AGD3F3J523,"Ananya S.,",R19CZW6DWG,I wanted a long cable but this is short just want ,https://m.media-amazon.com/images/I/31kw1RgU5yL._S,https://www.amazon.in/AmazonBasics-Nylon-Braided-L
B07DL1KC3H,Isoelite Remote Comp,Electronics|HomeTheat,$299,$899,67%,4,"1,588",Compatible Device Fo,AGHKFSJFKP,Pritam Roy,R2W93BKACG,এই রেপ্লিকা রিমোট �,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Isoelite-Remote-Compatible-S
B0B6F98KJJ,MI 100 cm (40 inches,Electronics|HomeTheat,"$21,999","$29,999",27%,4.2,"32,840","Note : The brands, M",AHEVOQADJS,Manoj madd,R13UTIA6KO,Pros- xiomi 5a is best in budget-Nice picture qual,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/MI-inches-Smart-Android-Beze
B07JNVF678,Wayona Nylon Braided,Computers&Accessories,$349,$999,65%,4.2,"13,120",[High Compatibility],AGKNFVSMZC,"Pratik,Ama",R3JCOBHM1J,"I like the product and I used it for my iphone,The",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Wayona-Nylon-Braided-Chargin
B09QGZFBPM,Wayona Type C To Typ,Computers&Accessories,$399,$999,60%,4.3,"2,806",【NOTE before purch,AHL2CPZ63T,sameer Dub,RGNARUOE22,"Material os very good, initially charges very fast",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Wayona-Charging-Charger-Comp
B07JGDB5M1,Wayona Nylon Braided,Computers&Accessories,$449,"$1,299",65%,4.2,"24,269",[High Compatibility],AG3D6O4STA,"Manav,Adar",R3HXWT0LRP,"Looks durable Charging is fine tooNo complains,Cha",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Wayona-Braided-WN6LG1-Syncin
B0981XSZJ7,CROSSVOLT Compatible,Computers&Accessories,$299,$999,70%,4.3,766,Compatible for onepl,AEIFMHDK4E,"AkashP.,Hr",R2JXNH8KUW,"I bought the original cable for ~1K, and it stoppe",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/CROSSVOLT-Compatible-Chargin
